'Crank Angle'	'ini_cylinder:comb:accumulated_heat_release',&	'ini_cylinder:comb:burnt_fuel_mass_fraction',&	'ini_cylinder:comb:lower_calorific_value',&	'ini_cylinder:comb:mean_reaction_progress_variable',&	'ini_cylinder:comb:mixture_fraction',&	'ini_cylinder:comb:products_mass_fraction',&	'ini_cylinder:comb:rate_of_heat_release',&	'ini_cylinder:comb:residual_gas_fraction',&	'ini_cylinder:comb:residual_gas_mass',&	'ini_cylinder:comb:total_equivalence_ratio',&	'ini_cylinder:emission:mean_no_mass_fraction',&	'ini_cylinder:emission:mean_no_reaction_rate',&	'ini_cylinder:flow:mass_flow',&	'ini_cylinder:flow:mass',&	'ini_cylinder:flow:mean_dissipation_rate',&	'ini_cylinder:flow:mean_passive_scalar',&	'ini_cylinder:flow:mean_pressure',&	'ini_cylinder:flow:mean_temperature',&	'ini_cylinder:flow:mean_turbulence_kinetic_energy',&	'ini_cylinder:flow:mean_turbulent_time_scale',&	'ini_cylinder:flow:volume',&	'ini_cylinder:formula:druck_br',&	'ini_cylinder:species:mean_ch4_mass_fraction',&	'ini_cylinder:species:mean_ch4_mole_fraction',&	'ini_cylinder:species:mean_co_mass_fraction',&	'ini_cylinder:species:mean_co_mole_fraction',&	'ini_cylinder:species:mean_co2_mass_fraction',&	'ini_cylinder:species:mean_co2_mole_fraction',&	'ini_cylinder:species:mean_h2_mass_fraction',&	'ini_cylinder:species:mean_h2_mole_fraction',&	'ini_cylinder:species:mean_h2o_mass_fraction',&	'ini_cylinder:species:mean_h2o_mole_fraction',&	'ini_cylinder:species:mean_n2_mass_fraction',&	'ini_cylinder:species:mean_n2_mole_fraction',&	'ini_cylinder:species:mean_o2_mass_fraction',&	'ini_cylinder:species:mean_o2_mole_fraction',&	'ini_intake_ports:flow:mass_flow',&	'ini_intake_ports:flow:mass',&	'ini_intake_ports:flow:mean_dissipation_rate',&	'ini_intake_ports:flow:mean_passive_scalar',&	'ini_intake_ports:flow:mean_pressure',&	'ini_intake_ports:flow:mean_temperature',&	'ini_intake_ports:flow:mean_turbulence_kinetic_energy',&	'ini_intake_ports:flow:mean_turbulent_time_scale',&	'ini_intake_ports:flow:volume',&	'ini_intake_ports:species:mean_ch4_mass_fraction',&	'ini_intake_ports:species:mean_ch4_mole_fraction',&	'ini_intake_ports:species:mean_co_mass_fraction',&	'ini_intake_ports:species:mean_co_mole_fraction',&	'ini_intake_ports:species:mean_co2_mass_fraction',&	'ini_intake_ports:species:mean_co2_mole_fraction',&	'ini_intake_ports:species:mean_h2_mass_fraction',&	'ini_intake_ports:species:mean_h2_mole_fraction',&	'ini_intake_ports:species:mean_h2o_mass_fraction',&	'ini_intake_ports:species:mean_h2o_mole_fraction',&	'ini_intake_ports:species:mean_n2_mass_fraction',&	'ini_intake_ports:species:mean_n2_mole_fraction',&	'ini_intake_ports:species:mean_o2_mass_fraction',&	'ini_intake_ports:species:mean_o2_mole_fraction',&	'ini_outlet_ports:flow:mass_flow',&	'ini_outlet_ports:flow:mass',&	'ini_outlet_ports:flow:mean_dissipation_rate',&	'ini_outlet_ports:flow:mean_passive_scalar',&	'ini_outlet_ports:flow:mean_pressure',&	'ini_outlet_ports:flow:mean_temperature',&	'ini_outlet_ports:flow:mean_turbulence_kinetic_energy',&	'ini_outlet_ports:flow:mean_turbulent_time_scale',&	'ini_outlet_ports:flow:volume',&	'ini_outlet_ports:species:mean_ch4_mass_fraction',&	'ini_outlet_ports:species:mean_ch4_mole_fraction',&	'ini_outlet_ports:species:mean_co_mass_fraction',&	'ini_outlet_ports:species:mean_co_mole_fraction',&	'ini_outlet_ports:species:mean_co2_mass_fraction',&	'ini_outlet_ports:species:mean_co2_mole_fraction',&	'ini_outlet_ports:species:mean_h2_mass_fraction',&	'ini_outlet_ports:species:mean_h2_mole_fraction',&	'ini_outlet_ports:species:mean_h2o_mass_fraction',&	'ini_outlet_ports:species:mean_h2o_mole_fraction',&	'ini_outlet_ports:species:mean_n2_mass_fraction',&	'ini_outlet_ports:species:mean_n2_mole_fraction',&	'ini_outlet_ports:species:mean_o2_mass_fraction',&	'ini_outlet_ports:species:mean_o2_mole_fraction',&	
deg	J	-	J/kg	-	-	-	J/deg	-	kg	-	-	1/s	kg/s	kg	m^2/s^3	-	Pa	K	m^2/s^2	s	m^3	Pa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	kg/s	kg	m^2/s^3	-	Pa	K	m^2/s^2	s	m^3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	kg/s	kg	m^2/s^3	-	Pa	K	m^2/s^2	s	m^3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
132.1	0	0	5e+07	0	1.42888e-07	0.274209	0	0.999996	0.00661381	0.55919	0	0	0.0673703	0.00661384	2779.43	0.999996	959170	1124.73	8.04189	0.0124501	0.00233337	959174	1.42888e-07	2.46131e-07	0	0	0.150773	0.0946732	0	0	0.123437	0.189346	0.725789	0.715979	9.86157e-07	8.51663e-07	0	0.00133656	232.154	0	338490	354.998	0.997433	0.00554516	0.000414502	0.0325222	0.0569986	0	0	0	0	0	0	0	0	0.743023	0.745774	0.224455	0.197227	0.074722	0.000392288	410411	0.00049361	304206	755.952	5.8737	0.171404	0.000293293	5.02803e-05	8.66121e-05	0	0	0.15054	0.0945298	0	0	0.123246	0.18906	0.725816	0.716024	0.000347014	0.000299696	
132.2	0	0	5e+07	0	5.57703e-08	0.27421	0	0.999998	0.00661304	0.559105	0	0	0.101476	0.00661305	5085.5	0.999998	958293	1124.46	8.07358	0.0123272	0.00233465	958302	5.57703e-08	9.60666e-08	0	0	0.150773	0.0946735	0	0	0.123437	0.189347	0.725789	0.715979	3.84904e-07	3.3241e-07	0	0.00133651	230.775	0	338474	354.994	0.994886	0.00554173	0.000414502	0.0325222	0.0569986	0	0	0	0	0	0	0	0	0.743023	0.745774	0.224455	0.197227	0.084026	0.000393229	572490	0.00207939	305381	757.087	6.89426	0.160034	0.000293297	7.01874e-05	0.000120905	0	0	0.150448	0.0944728	0	0	0.123171	0.188946	0.725827	0.716042	0.000484405	0.000418356	
132.3	0	0	5e+07	0	2.56184e-08	0.27421	0	0.999999	0.00661216	0.558927	0	0	0.114629	0.00661217	6926.55	0.999999	957400	1124.17	8.11096	0.01224	0.00233593	957413	2.56184e-08	4.41286e-08	0	0	0.150773	0.0946736	0	0	0.123437	0.189347	0.725789	0.715979	1.76807e-07	1.52694e-07	0	0.00133644	229.37	0	338454	354.989	0.99236	0.00554045	0.000414502	0.0325222	0.0569986	0	0	0	0	0	0	0	0	0.743023	0.745774	0.224455	0.197227	0.0864498	0.000394249	1.10246e+06	0.00418956	306688	758.384	9.52847	0.150712	0.000293302	7.52701e-05	0.000129661	0	0	0.150424	0.0944583	0	0	0.123152	0.188917	0.725829	0.716047	0.000519483	0.000448653	
132.4	0	0	5e+07	0	1.95668e-08	0.27421	0	0.999999	0.00661124	0.558814	0	0	0.119699	0.00661124	8463.69	0.999999	956502	1123.89	8.146	0.0121708	0.0023372	956519	1.95668e-08	3.37045e-08	0	0	0.150773	0.0946736	0	0	0.123437	0.189347	0.725789	0.715979	1.35042e-07	1.16625e-07	0	0.00133637	227.977	0	338428	354.982	0.989853	0.00554035	0.000414502	0.0325222	0.0569986	0	0	0	0	0	0	0	0	0.743023	0.745774	0.224455	0.197227	0.0889066	0.000395338	1.66121e+06	0.0064712	308088	759.769	13.119	0.14175	0.000293306	7.63011e-05	0.000131437	0	0	0.15042	0.0944553	0	0	0.123148	0.188911	0.72583	0.716048	0.000526599	0.000454799	
132.5	0	0	5e+07	0	1.91419e-08	0.27421	0	0.999999	0.0066103	0.558797	0	0	0.121823	0.0066103	9621.83	0.999999	955605	1123.61	8.1749	0.012113	0.00233848	955625	1.91419e-08	3.29727e-08	0	0	0.150773	0.0946736	0	0	0.123437	0.189347	0.725789	0.715979	1.3211e-07	1.14092e-07	0	0.00133628	226.6	0	338398	354.974	0.987364	0.00554103	0.000414502	0.0325222	0.0569986	0	0	0	0	0	0	0	0	0.743023	0.745774	0.224455	0.197227	0.0906334	0.000396486	2.07838e+06	0.00880449	309556	761.199	16.6512	0.132607	0.00029331	7.6358e-05	0.000131535	0	0	0.150419	0.0944552	0	0	0.123147	0.18891	0.72583	0.716048	0.000526992	0.000455138	
132.6	0	0	5e+07	0	1.9774e-08	0.27421	0	0.999999	0.00660935	0.558807	0	0	0.12298	0.00660935	10583.4	0.999999	954710	1123.33	8.19817	0.0120633	0.00233975	954731	1.9774e-08	3.40614e-08	0	0	0.150773	0.0946736	0	0	0.123437	0.189347	0.725789	0.715979	1.36472e-07	1.1786e-07	0	0.00133618	225.242	0	338364	354.965	0.984894	0.00554231	0.000414502	0.0325222	0.0569986	0	0	0	0	0	0	0	0	0.743023	0.745774	0.224455	0.197227	0.0917473	0.000397686	2.34972e+06	0.0111527	311080	762.656	19.6669	0.123255	0.000293315	7.61884e-05	0.000131243	0	0	0.15042	0.0944557	0	0	0.123148	0.188911	0.72583	0.716048	0.000525822	0.000454127	
132.7	0	0	5e+07	0	2.05087e-08	0.27421	0	0.999999	0.00660839	0.558821	0	0	0.123836	0.00660839	11317.5	0.999999	953816	1123.05	8.21667	0.0120198	0.00234102	953839	2.05087e-08	3.5327e-08	0	0	0.150773	0.0946736	0	0	0.123437	0.189347	0.725789	0.715979	1.41542e-07	1.22239e-07	0	0.00133606	223.905	0	338324	354.954	0.982443	0.00554405	0.000414502	0.0325222	0.0569986	0	0	0	0	0	0	0	0	0.743023	0.745774	0.224455	0.197227	0.0924639	0.000398936	2.50581e+06	0.0135048	312654	764.135	22.0297	0.114051	0.000293319	7.5965e-05	0.000130858	0	0	0.150421	0.0944563	0	0	0.123149	0.188913	0.72583	0.716047	0.00052428	0.000452796	
132.8	0	0	5e+07	0	2.11691e-08	0.27421	0	0.999999	0.00660743	0.558832	0	0	0.124619	0.00660743	11952.7	0.999999	952924	1122.77	8.23184	0.011981	0.00234228	952948	2.11691e-08	3.64647e-08	0	0	0.150773	0.0946736	0	0	0.123437	0.189347	0.725789	0.715979	1.46101e-07	1.26175e-07	0	0.00133593	222.589	0	338279	354.942	0.980009	0.00554617	0.000414502	0.0325222	0.0569986	0	0	0	0	0	0	0	0	0.743023	0.745774	0.224455	0.197227	0.0929614	0.000400228	2.6049e+06	0.015858	314275	765.633	23.9395	0.105316	0.000293323	7.57259e-05	0.000130446	0	0	0.150422	0.094457	0	0	0.12315	0.188914	0.72583	0.716047	0.00052263	0.00045137	
132.9	0	0	5e+07	0	2.1737e-08	0.27421	0	0.999999	0.00660646	0.558842	0	0	0.125405	0.00660646	12518.2	0.999999	952034	1122.49	8.24465	0.0119458	0.00234355	952058	2.1737e-08	3.74429e-08	0	0	0.150773	0.0946736	0	0	0.123437	0.189347	0.725789	0.715979	1.5002e-07	1.2956e-07	0	0.00133579	221.295	0	338229	354.928	0.977594	0.00554862	0.000414502	0.0325222	0.0569986	0	0	0	0	0	0	0	0	0.743023	0.745774	0.224455	0.197227	0.093367	0.000401556	2.67785e+06	0.0182107	315935	767.148	25.5807	0.097135	0.000293328	7.548e-05	0.000130022	0	0	0.150423	0.0944577	0	0	0.123151	0.188915	0.725829	0.716047	0.000520933	0.000449905	
